url,yes/no
https://www.amazon.com/BRIXTON-Mens-Brood-Newsboy-Snap/product-reviews/B0812755NJ/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,yes
https://www.amazon.com/NIUBEE-Acrylic-Display-Decoration-Organizer-Small/product-reviews/B074CB3P4V/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,yes
https://www.amazon.com/CardKingPro-Immense-Dice-Bags-Pockets/product-reviews/B07KCYSSRK/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1,yes
