ASIN,SEARCH TERM,ACTIVE,DETAILS
B01HSDDY40,poly bags 6x9,yes,
B01630QDCY,poly bags 11x14,yes,
B06XDGXGF4,poly bags 12x16,yes,
B01630QFOA,poly bags 14x20,yes,
B01HSDDZ26,poly bags 8x10,yes,
B00XKL0P3I,poly bags 9x12,yes,
B01HSDDY40,self seal poly bags 6x9,yes,
B01630QDCY,self seal poly bags 11x14,yes,
B06XDGXGF4,self seal poly bags 12x16,yes,
B01630QFOA,self seal poly bags 14x20,yes,
B01HSDDZ26,self seal poly bags 8x10,yes,
B00XKL0P3I,self seal poly bags 9x12,yes,
