START SCRAPING REVIEWS,https://www.amazon.com/Stacy-Adams-Mens-Felt-Fedora/product-reviews/B00AKB7HSM/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
 Medium, Chocolate,"Reviewed in the United States on June 8, 2015"
 X-Large, Gray,"Reviewed in the United States on May 29, 2015"
 Medium, Chocolate,"Reviewed in the United States on May 29, 2015"
 XX-Large, Gray,"Reviewed in the United States on May 14, 2015"
 X-Large, Gray,"Reviewed in the United States on May 11, 2015"
 Large, Black,"Reviewed in the United States on May 8, 2015"
 Medium, Chocolate,"Reviewed in the United States on May 5, 2015"
 X-Large, Chocolate,"Reviewed in the United States on May 4, 2015"
 X-Large, Chocolate,"Reviewed in the United States on May 4, 2015"
 XX-Large, Black,"Reviewed in the United States on May 1, 2015"
 X-Large, Black,"Reviewed in the United States on April 30, 2015"
 Large, Black,"Reviewed in the United States on April 28, 2015"
 XX-Large, Gray,"Reviewed in the United States on April 19, 2015"
COMPLETE SCRAPING REVIEWS,https://www.amazon.com/Stacy-Adams-Mens-Felt-Fedora/product-reviews/B00AKB7HSM/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
