url,yes/no
https://www.etsy.com/shop/slothshirts/reviews?ref=l2-see-more-feedback,yes
https://www.etsy.com/shop/AmeriTrendsCo/reviews?ref=l2-see-more-feedback,no
https://www.etsy.com/pl/shop/MignonandMignon/reviews?ref=l2-see-more-feedback,no
